id,cuisine
18009,irish
28583,southern_us
41580,italian
29752,cajun_creole
35687,italian
38527,southern_us
19666,southern_us
41217,chinese
28753,mexican
22659,irish
21749,italian
44967,greek
42969,indian
44883,italian
20827,british
23196,southern_us
35387,cajun_creole
33780,mexican
19001,cajun_creole
16526,southern_us
42455,japanese
47453,chinese
42478,indian
11885,vietnamese
16585,italian
29639,southern_us
26245,vietnamese
38516,korean
47520,italian
26212,cajun_creole
23696,mexican
14926,thai
13292,indian
27346,moroccan
1384,chinese
15959,cajun_creole
42297,russian
46235,indian
21181,indian
9809,cajun_creole
22982,cajun_creole
23120,chinese
26743,irish
12741,cajun_creole
7050,italian
22437,japanese
14760,spanish
10649,filipino
48065,filipino
39931,chinese
32935,italian
40142,thai
19103,indian
38267,italian
30512,italian
3324,chinese
26197,italian
384,japanese
47230,chinese
39748,cajun_creole
41038,french
24878,mexican
42624,filipino
45706,korean
8874,mexican
23878,spanish
47234,mexican
24075,chinese
46323,italian
22562,italian
11358,japanese
9201,indian
38620,mexican
47638,brazilian
21238,indian
11053,japanese
46602,indian
13937,mexican
21876,southern_us
20798,greek
24381,chinese
48178,spanish
45832,italian
27560,korean
23247,british
28975,southern_us
43230,greek
9126,irish
13021,southern_us
28194,chinese
25617,indian
36125,italian
16454,mexican
1607,chinese
38526,moroccan
18755,southern_us
12035,italian
16047,italian
15419,italian
16971,indian
31459,greek
27888,cajun_creole
13900,italian
12376,indian
1658,chinese
29431,southern_us
22290,greek
28464,italian
37953,korean
20814,jamaican
35987,spanish
2329,italian
43237,thai
30647,jamaican
16675,italian
37722,mexican
32438,chinese
20287,chinese
43296,indian
6237,greek
48560,korean
20810,mexican
34951,french
31850,southern_us
47745,southern_us
37815,vietnamese
9872,italian
5592,italian
27411,vietnamese
39320,greek
40247,greek
19792,italian
40754,greek
14365,mexican
14468,spanish
47563,mexican
19611,italian
7163,mexican
43069,southern_us
27505,chinese
36500,japanese
25932,southern_us
817,italian
8471,moroccan
48250,southern_us
9413,mexican
12097,cajun_creole
8416,mexican
5892,italian
676,southern_us
47015,korean
21891,greek
14630,italian
36195,japanese
25981,mexican
39964,french
28298,indian
31954,vietnamese
26620,italian
14932,mexican
47426,southern_us
1038,italian
8077,filipino
37141,southern_us
45447,spanish
9624,mexican
45589,italian
7265,indian
31844,southern_us
13046,italian
9867,southern_us
29184,italian
34783,french
2823,vietnamese
18932,mexican
11112,mexican
12859,thai
9365,italian
44516,cajun_creole
18193,irish
46545,italian
9900,italian
14815,vietnamese
39690,italian
22193,southern_us
11739,cajun_creole
27311,korean
36920,indian
7861,indian
29248,moroccan
43142,mexican
7574,mexican
8610,mexican
989,italian
46926,mexican
40816,moroccan
39726,chinese
42229,chinese
10474,mexican
22140,mexican
31985,indian
46165,japanese
20860,italian
42494,italian
15968,southern_us
20484,vietnamese
26661,brazilian
47182,mexican
22528,italian
3861,thai
1203,french
45040,russian
33287,indian
10097,british
42005,southern_us
12423,spanish
39613,filipino
30276,brazilian
18686,mexican
3031,mexican
40093,italian
182,french
46591,mexican
4092,chinese
13722,mexican
44575,greek
14989,italian
13270,italian
25529,italian
12140,indian
23127,mexican
13523,italian
41270,italian
8362,thai
11735,southern_us
27935,italian
28198,mexican
37765,italian
33856,italian
30198,italian
42521,italian
21567,filipino
36995,french
24967,thai
45002,filipino
48925,brazilian
36914,french
2280,southern_us
14729,southern_us
4594,chinese
2237,mexican
45631,moroccan
2317,chinese
23079,chinese
29333,japanese
48066,italian
15737,italian
30580,jamaican
1119,italian
46336,moroccan
5026,mexican
10749,filipino
31020,mexican
30805,spanish
27653,italian
35060,moroccan
39174,italian
49509,italian
31784,brazilian
31408,spanish
36029,indian
11045,brazilian
6561,southern_us
26992,jamaican
31179,southern_us
35099,mexican
11018,italian
17930,mexican
21302,italian
46352,thai
25132,mexican
7010,mexican
25850,southern_us
19601,mexican
7935,italian
34994,filipino
25113,italian
45523,italian
34977,mexican
7124,southern_us
27514,greek
27178,mexican
47880,korean
29197,spanish
16347,french
20333,mexican
29112,korean
7510,spanish
13897,mexican
35699,french
20520,mexican
38920,mexican
21775,indian
37475,japanese
40131,mexican
1939,mexican
48268,cajun_creole
34815,greek
13797,italian
39063,chinese
29064,chinese
26896,italian
29477,italian
3352,irish
4966,mexican
7316,italian
23879,mexican
16525,italian
32843,french
39574,italian
32737,mexican
44788,filipino
28772,greek
34189,mexican
33719,southern_us
25846,indian
1423,indian
4328,vietnamese
579,southern_us
5219,indian
2314,cajun_creole
31143,italian
13409,korean
3281,italian
15804,thai
40835,southern_us
39262,korean
37013,russian
14807,jamaican
47956,british
2580,mexican
13720,italian
23008,japanese
5951,italian
39312,mexican
6176,southern_us
17617,filipino
57,mexican
43422,indian
49403,spanish
44751,southern_us
21865,mexican
26584,cajun_creole
39355,korean
14038,mexican
45396,indian
49715,italian
41515,thai
30445,spanish
4090,southern_us
17207,thai
40376,italian
19398,mexican
22347,vietnamese
49671,mexican
40854,mexican
926,chinese
47919,filipino
20571,irish
18866,british
48742,italian
14577,italian
29481,italian
40996,italian
